SITE_ID,LAT,LON,elv,
AR-SLu,-33.4648,-66.4598,507,
AR-Vir,-28.2395,-56.1886,104,
AU-Ade,-13.0769,131.1178,79,
AU-ASM,-22.2830,133.2490,605,
AU-Cpr,-34.0021,140.5891,60,
AU-DaP,-14.0633,131.3181,69,
AU-DaS,-14.1593,131.3881,79,
AU-Dry,-15.2588,132.3706,175,
AU-Emr,-23.8587,148.4746,175,
AU-Gin,-31.3764,115.7138,50,
AU-GWW,-30.1913,120.6541,446,
AU-How,-12.4943,131.1523,35,
AU-Lox,-34.4704,140.6551,43,
AU-RDF,-14.5636,132.4776,181,
AU-Rig,-36.6499,145.5759,151,
AU-Stp,-17.1507,133.3502,229,
AU-TTE,-22.2870,133.6400,551,
AU-Tum,-35.6566,148.1517,1238,
AU-Wac,-37.4259,145.1878,732,
AU-Whr,-36.6732,145.0294,144,
AU-Wom,-37.4222,144.0944,700,
AU-Ync,-34.9893,146.2907,127,
BE-Bra,51.3076,4.5198,16,
BE-Vie,50.3049,5.9981,486,
BR-Sa3,-3.0180,-54.9714,172,
CA-Man,55.8796,-98.4808,261,
CA-NS4,55.9144,-98.3806,252,
CA-SF3,54.0916,-106.0053,544,
CH-Fru,47.1158,8.5378,972,
CH-Oe1,47.2858,7.7319,454,
CN-Du2,42.0467,116.2836,1321,
CN-HaM,37.3700,101.1800,4032,
CZ-BK2,49.4944,18.5429,844,
DE-Gri,50.9500,13.5126,380,
DE-RuR,50.6219,6.3041,514,
ES-LgS,37.0979,-2.9658,2271,
ES-Ln2,36.9695,-3.4758,2215,
FI-Hyy,61.8474,24.2948,177,
FR-Fon,48.4764,2.7801,93,
FR-LBr,44.7171,-0.7693,63,
FR-Pue,43.7413,3.5957,269,
IT-Col,41.8494,13.5881,1549,
IT-Cp2,41.7043,12.3573,3,
IT-MBo,46.0147,11.0458,1549,
IT-Noe,40.6062,8.1517,29,
IT-SRo,43.7279,10.2844,3,
IT-Tor,45.8444,7.5781,2164,
NL-Hor,52.2404,5.0713,1,
RU-Fyo,56.4615,32.9221,268,
RU-Ha1,54.7252,90.0022,453,
US-AR1,36.4267,-99.4200,612,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 301-302(7), 108350. https://doi.org/10.1111/GCB.14559"
US-AR2,36.6358,-99.5975,645,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 301-302(7), 108350. https://doi.org/10.1111/GCB.14559"
US-ARb,35.5497,-98.0402,423,"Chu, H., Luo, X., Ouyang, Z., Chan, W. S., Dengel, S., Biraud, S. C., Torn, M. S., Metzger, S., Kumar, J., Arain, M. A., Arkebauer, T. J., Baldocchi, D., Bernacchi, C., Billesbach, D., Black, T. A., Blanken, P. D., Bohrer, G., Bracho, R., Brown, S., Brunsell, N. A., Chen, J., Chen, X., Clark, K., Desai, A. R., Duman, T., Durden, D., Fares, S., Forbrich, I., Gamon, J. A., Gough, C. M., Griffis, T., Helbig, M., Hollinger, D., Humphreys, E., Ikawa, H., Iwata, H., Ju, Y., Knowles, J. F., Knox, S. H., Kobayashi, H., Kolb, T., Law, B., Lee, X., Litvak, M., Liu, H., Munger, J. W., Noormets, A., Novick, K., Oberbauer, S. F., Oechel, W., Oikawa, P., Papuga, S. A., Pendall, E., Prajapati, P., Prueger, J., Quinton, W. L., Richardson, A. D., Russell, E. S., Scott, R. L., Starr, G., Staebler, R., Stoy, P. C., Stuart-Haëntjens, E., Sonnentag, O., Sullivan, R. C., Suyker, A., Ueyama, M., Vargas, R., Wood, J. D., Zona, D. (2021) Representativeness Of Eddy-Covariance Flux Footprints For Areas Surrounding Ameriflux Sites, Agricultural And Forest Meteorology, 301-302(), 108350. https://doi.org/10.1016/J.AGRFORMET.2021.108350"
US-ARc,35.5465,-98.0400,423,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 301-302(), 108350. https://doi.org/10.1111/GCB.14559"
US-Cop,38.0900,-109.3900,1903,
US-KS2,28.6086,-80.6715,2,
US-PFa,45.9459,-90.2723,471,
US-SRG,31.7894,-110.8277,1293,
US-SRM,31.8214,-110.8661,1113,
US-Syv,46.2420,-89.3477,544,
US-Ton,38.4309,-120.9660,174,
US-Var,38.4133,-120.9508,166,
US-Whs,31.7438,-110.0522,1372,
US-Wi6,46.6249,-91.2982,354,
US-Wkg,31.7365,-109.9419,1515,
ZA-Kru,-25.0197,31.4969,357,
ZM-Mon,-15.4391,23.2525,1087,
