ho,hn,qn,cn,wn,ro,eq_n,ep_n,ea_n,TIME,swcObs,swc,Prec,sito,veg,MI,AI,ApP,ApQ
43463361.4288439,15221292.8072482,41.5983836691548,0.544187655493248,38.8262221710284,0,4.67674593787814,5.89269988172646,2.73429035573011,20010101,NA,0.258841481140189,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
43439726.8133733,15212928.8267511,41.5757631959585,0.544533032242633,43.5025748776468,0,4.67417610282474,5.88946188955917,3.08108374831824,20010102,NA,0.290017165850979,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
43413250.2730735,15203528.7746094,41.5504227426338,0.544910612962783,47.8709221117032,0,4.67128793450512,5.88582279747645,3.38946680160044,20010103,NA,0.319139480744688,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
43383926.6898582,15193089.5730928,41.5223574107072,0.545320083310746,51.9645522845134,0,4.6680804872859,5.88178141398023,3.66459333319461,20010104,NA,0.346430348563423,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
43351750.9622806,15181608.0715192,41.491562317631,0.545761104476663,55.8124708854157,0,4.66455279311926,5.87733651933027,3.91074592626838,20010105,NA,0.372083139236105,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
43316718.0326906,15169081.0605089,41.4580326227747,0.546233314213692,59.4401001024302,0,4.66070386592247,5.87248687106232,4.13150751989323,20010106,NA,0.396267334016202,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
43278822.9160745,15155505.2870947,41.4217635550274,0.54673632792341,62.869846553412,0,4.65653270622054,5.86723120983789,4.32989329963572,20010107,NA,0.41913231035608,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
43238060.7304975,15140877.4706353,41.3827504419345,0.547269739790292,66.1215665189761,0,4.6520383060357,5.86156826560498,4.50845319692021,20010108,NA,0.440810443459841,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
43194426.729063,15125194.3194763,41.3409887402846,0.547833123958694,69.2129507945942,0,4.64721965400628,5.85549676404792,4.66935227103469,20010109,NA,0.461419671963961,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
43147916.3332942,15108452.5482983,41.2964740680597,0.548426035745693,72.1598460702557,0,4.64207574071711,5.84901543330356,4.81443418277827,20010110,NA,0.481065640468371,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
43098525.1678416,15090648.8960927,41.2492022376531,0.549048012883089,74.9765259778956,0,4.6366055642225,5.84212301092035,4.94527152793719,20010111,NA,0.499843506519304,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
43046249.0964136,15071780.1447014,41.1991692902582,0.549698576781936,77.675922212816,0,4.63080813574257,5.83481825103563,5.06320576455564,20010112,NA,0.517839481418773,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42991084.2588213,15051843.1378559,41.1463715313235,0.550377233813004,80.2698241725492,0,4.62468248551306,5.82709993174646,5.16937869677379,20010113,NA,0.535132161150328,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42933027.1090268,15030834.8006503,41.0908055669688,0.55108347659675,82.7690542047505,0,4.61822766876837,5.81896686264815,5.26475686708951,20010114,NA,0.551793694698337,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42872074.4540785,15008752.1593804,41.0324683412495,0.551816785296521,85.1836247403293,0,4.61144277183721,5.81041789251488,5.3501496724118,20010115,NA,0.567890831602195,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42808223.493815,14985592.3616833,40.971357174157,0.552576628908945,87.5228833281502,0,4.60432691833028,5.80145191709616,5.42622146378213,20010116,NA,0.583485888854335,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42741471.861215,14961352.6969065,40.9074698002367,0.553362466545746,89.7956520425566,0,4.59687927539904,5.79206788700279,5.49349717483345,20010117,NA,0.59863768028371,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42671817.663269,14936030.616643,40.8408044077067,0.554173748701459,92.0103693396147,0,4.58909906004476,5.7822648156564,5.55235987433735,20010118,NA,0.613402462264098,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42599259.5222469,14909623.7553607,40.7713596779543,0.555009918501912,94.1752462818413,0,4.58098554545714,5.772041787276,5.60303639896937,20010119,NA,0.627834975212275,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42523796.6172348,14882129.9510626,40.6991348252902,0.55587041292863,96.2984580489375,0,4.57253806736207,5.7613979648762,5.64556206852649,20010120,NA,0.64198972032625,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42445428.7258111,14853547.2659098,40.6241296368369,0.556754664014708,98.3884148293021,0,4.56375603035806,5.75033259825116,5.67970130634412,20010121,NA,0.655922765528681,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42364156.265737,14823874.0067439,40.5463445124297,0.557662100008089,100.454229129435,0,4.55463891422181,5.73884503191948,5.70475122256914,20010122,NA,0.669694860862901,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42279980.3365309,14793108.7454453,40.4657805044076,0.558592146498535,102.506839801645,0,4.54518628016318,5.7269347130056,5.71888489698249,20010123,NA,0.683378932010968,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42192902.7608027,14761250.3390654,40.3824393571736,0.559544227505028,104.56468625281,0,4.53539777701098,5.71460119903383,5.71460119903383,20010124,NA,0.69709790835207,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42102926.1252224,14728297.9496748,40.296323546406,0.560517766520669,106.636263276413,0,4.52527314731114,5.70184416561204,5.70184416561204,20010125,NA,0.710908421842754,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
42010053.8210011,14694251.063868,40.2074363178017,0.561512187512602,108.722015472637,0,4.51481223331977,5.68866341398291,5.68866341398291,20010126,NA,0.724813436484246,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
41914290.0837645,14659109.5118724,40.1157817252392,0.562526915874829,110.822386932784,0,4.50401498287415,5.67505887842143,5.67505887842143,20010127,NA,0.738815912885229,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
41815640.032704,14622873.4862071,40.0213646682494,0.563561379332172,112.937821101352,0,4.4928814551258,5.6610306334585,5.6610306334585,20010128,NA,0.752918807342347,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
41714109.7088913,14585543.5598427,39.9241909286865,0.564615008794021,115.068760631929,0,4.48141182612013,5.64657890091136,5.64657890091136,20010129,NA,0.767125070879525,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
41609706.11265,14547120.7038166,39.8242672064959,0.565687239156826,117.215647237077,0,4.46960639420855,5.63170405670278,5.63170405670278,20010130,NA,0.781437648247179,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
41502437.2398802,14507606.3042574,39.7216011544801,0.56677751005465,119.378921532373,0,4.45746558527949,5.61640663745215,5.61640663745215,20010131,NA,0.79585947688249,7.21290342269405,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
41392312.1172377,14706878.9692398,40.2319972888383,0.580184641321369,119.124793311347,0,4.57938653894476,5.77002703907039,5.77002703907039,20010201,NA,0.794165288742316,4.93571417672293,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
41279340.8360756,14664513.7088573,40.1221928337366,0.581334181503462,118.888436015532,0,4.56619496352482,5.75340565404127,5.75340565404127,20010202,NA,0.792589573436883,4.93571417672293,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
41163534.58506,14621046.4626873,40.0096328790356,0.58250047310942,118.670298744222,0,4.55266025487507,5.73635192114259,5.73635192114259,20010203,NA,0.791135324961482,4.93571417672293,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
41044905.6813801,14576480.4956364,39.8943293966471,0.58368296915366,118.470828768787,0,4.53878342961292,5.71886712131228,5.71886712131228,20010204,NA,0.789805525125244,4.93571417672293,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
40923467.6004757,14530819.5701359,39.7762954842657,0.584881130534537,118.290471345359,0,4.5245656592736,5.70095273068473,5.70095273068473,20010205,NA,0.788603142302395,4.93571417672293,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
40799235.0042149,14484067.9590757,39.6555453927561,0.586094426484721,118.129669522902,0,4.51000827433755,5.68261042566531,5.68261042566531,20010206,NA,0.787531130152677,4.93571417672293,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
40672223.7674591,14436230.4579197,39.5320945519735,0.587322334971305,117.988863946912,0,4.49511276800282,5.66384208768356,5.66384208768355,20010207,NA,0.786592426312749,4.93571417672293,AR-Vir,ENF,0.983455436122913,1.01682289127641,0.901440284563178,1.11702319872424
