ho,hn,qn,cn,wn,ro,eq_n,ep_n,ea_n,TIME,swcObs,swc,Prec,sito,veg,MI,AI,ApP,ApQ
40555380.788025,13931365.0261021,37.8689845154735,0.570565470143775,139.283822101873,0,4.41241388523393,5.55964149539475,5.55964149539475,20010101,NA,0.928558814012484,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40556304.0949875,13932200.0830148,37.8698466624042,0.570715418200103,142.226821135267,0,4.4126783687723,5.5599747446531,5.5599747446531,20010102,NA,0.948178807568448,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40556713.8083172,13932878.5824401,37.8702292362435,0.570879491435259,145.169713470615,0,4.41289326661468,5.5602455159345,5.5602455159345,20010103,NA,0.967798089804103,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40556586.5419684,13933390.9676094,37.8701104000423,0.571057564000139,148.112579399079,0,4.41305555189191,5.56044999538381,5.56044999538381,20010104,NA,0.987417195993862,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40555897.2895066,13933727.0156163,37.869466803797,0.571249500071057,150,1.05550315568996,4.41316198675231,5.56058410330791,5.56058410330791,20010105,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40554619.486866,13933875.8632364,37.8682736430506,0.571455154242331,150,2.9430700096103,4.41320913053934,5.56064350447957,5.56064350447957,20010106,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40552725.0792739,13933826.0344474,37.8665047213841,0.571674371940764,150,2.94330911266832,4.41319334850793,5.56062361911999,5.56062361911999,20010107,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40550184.5920875,13933565.4695434,37.8641325165606,0.571906989859644,150,2.94364571518955,4.41311082104575,5.56051963451764,5.56051963451764,20010108,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40546967.2052799,13933081.5557328,37.8611282500778,0.572152836409858,150,2.9440846790184,4.41295755336428,5.56032651723899,5.56032651723899,20010109,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40543040.831302,13932361.1591041,37.8574619598721,0.572411732185646,150,2.94463106614791,4.41272938562325,5.56003902588529,5.56003902588529,20010110,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40538372.196036,13931390.6578414,37.8531025759098,0.572683490442551,150,2.94529012594211,4.41242200345079,5.559651724348,5.559651724348,20010111,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40532926.9225527,13930155.9765688,37.8480179983959,0.572967917585048,150,2.946067281918,4.41203094882111,5.55915899551459,5.55915899551459,20010112,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40526669.6173767,13928642.6216992,37.8421751783258,0.57326481366143,150,2.94696811813336,4.41155163125049,5.55855505537562,5.55855505537562,20010113,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40519563.9589633,13926835.7176657,37.8355402001009,0.573573972863506,150,2.94799836522768,4.41097933927251,5.55783396748337,5.55783396748336,20010114,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40511572.7880863,13924720.043908,37.8280783659295,0.573895184028769,150,2.94916388616392,4.4103092521527,5.5569896577124,5.5569896577124,20010115,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40502658.1998383,13922280.0724915,37.8197542817324,0.574228231142728,150,2.95047066171793,4.40953645180345,5.55601592927234,5.55601592927234,20010116,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40492781.6369445,13919500.0062346,37.8105319442761,0.574572893839198,150,2.95192477576336,4.4086559348598,5.55490647792335,5.55490647792336,20010117,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40481903.9840958,13916363.817222,37.8003748292574,0.574928947896453,150,2.95353240039822,4.4076626248776,5.55365490734578,5.55365490734578,20010118,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40469985.6630105,13912855.2855831,37.7892459800675,0.57529616572723,150,2.95529978095897,4.40655138461572,5.55225474461581,5.55225474461581,20010119,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40456986.7279386,13908958.0384202,37.7771080969705,0.575674316860708,150,2.95723322096788,4.40531702836537,5.55069945574036,5.55069945574036,20010120,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40442866.9613319,13904655.5887689,37.7639236264367,0.576063168414726,150,2.95933906705679,4.40395433429005,5.54898246120546,5.54898246120546,20010121,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40427585.9694092,13899931.3744825,37.7496548503765,0.57646248555659,150,2.96162369391024,4.40245805674117,5.54709715149387,5.54709715149387,20010122,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40411103.2773547,13894768.7969325,37.7342639750337,0.576872031951035,150,2.96409348926932,4.40082293851529,5.54503690252927,5.54503690252927,20010123,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40393378.4238998,13889151.2594211,37.7177132193021,0.577291570193953,150,2.96675483903545,4.39904372302067,5.54279509100604,5.54279509100604,20010124,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40374371.0550468,13883062.2052112,37.6999649022407,0.577720862230739,150,2.96961411251266,4.39711516632192,5.54036510956561,5.54036510956561,20010125,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40354041.0167058,13876485.1550765,37.6809815295741,0.578159669758168,150,2.97267764782362,4.39503204903342,5.5377403817821,5.5377403817821,20010126,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40332348.4460265,13869403.7442874,37.660725878975,0.578607754608909,150,2.97595173753422,4.3927891880335,5.53491437692221,5.53491437692221,20010127,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40309253.861222,13861801.7589483,37.6391610839377,0.579064879117901,150,2.979442614519,4.39038144797336,5.53188062444644,5.53188062444644,20010128,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40284718.2496905,13853663.1716087,37.6162507160628,0.579530806469957,150,2.98315643809676,4.38780375255614,5.52863272822073,5.52863272822073,20010129,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40258703.1542579,13844972.1760779,37.5919588655866,0.58000530102809,150,2.98709928046566,4.38505109556346,5.52516438040995,5.52516438040995,20010130,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40231170.7573733,13835713.2213758,37.5662502200003,0.580488128642178,150,2.99127711346287,4.3821185516086,5.52146937502684,5.52146937502684,20010131,NA,1,7.93225835984753,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40202083.963107,14088247.2393118,38.3369454169033,0.598133673192849,150,8.71777192557315,4.42318942261438,5.57321867249411,5.57321867249411,20010201,NA,1,13.6928569248744,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
40171406.4768106,14077610.4293858,38.3076911842433,0.598646614987645,150,8.72249271996228,4.41984985706332,5.56901081989978,5.56901081989978,20010202,NA,1,13.6928569248744,AU-DaS,SAV,0.552991496527295,1.80834607092487,0.993085607346772,0.691951549194876
