ho,hn,qn,cn,wn,ro,eq_n,ep_n,ea_n,TIME,swcObs,swc,Prec,sito,veg,MI,AI,ApP,ApQ
44133440.2804685,18980399.4780632,52.3149396356528,0.68626957750979,8.97144906188288,0,6.01454817426345,7.57833069957195,0.772214558346753,20010101,NA,0.0598096604125525,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
44096981.8028684,18964188.1485056,52.2717224506173,0.686876708148483,9.48754413890087,0,6.00941109468272,7.57185797930023,0.822394558967249,20010102,NA,0.0632502942593391,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
44056484.6323354,18946146.8733196,52.2237178758915,0.687540277525173,9.9588150175455,0,6.00369413815307,7.56465461407287,0.867882326717298,20010103,NA,0.06639210011697,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
44011955.3831539,18926277.1127972,52.1709337519223,0.688259706267594,10.3895482378065,0,5.99739776741485,7.55672118694271,0.909139413843349,20010104,NA,0.06926365491871,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43963401.6938914,18904580.6958587,52.1133791333221,0.689034370434406,10.7836164838157,0,5.99052256202015,7.54805842814539,0.946579052261946,20010105,NA,0.0718907765587715,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43910832.2275037,18881059.826363,52.0510642889938,0.689863603498155,11.1445212130915,0,5.98306922033227,7.53866721761865,0.980571802059175,20010106,NA,0.0742968080872764,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43854256.6713771,18855717.0897124,51.9840007021806,0.690746698431724,11.475430400765,0,5.97503856161884,7.52854858763974,1.01145043859495,20010107,NA,0.0765028693384332,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43793685.7373709,18828555.4597445,51.9122010705164,0.691682909885468,11.7792120418176,0,5.96643152823569,7.51770372557697,1.0395141966696,20010108,NA,0.0785280802787841,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43729131.1619196,18799578.3058984,51.8356793061473,0.692671456441927,12.0584639566788,0,5.95724918789761,7.50613397675098,1.06503246941745,20010109,NA,0.0803897597111923,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43660605.7062523,18768789.4006421,51.7544505359912,0.693711522934922,12.3155403646349,0,5.94749273603204,7.49384084740038,1.08824804281563,20010110,NA,0.0821036024308993,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43588123.1567834,18736192.9271467,51.6685311022012,0.694802262819807,12.5525756221966,0,5.9371634982109,7.48082600774574,1.10937993309487,20010111,NA,0.0836838374813105,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43511698.3257228,18701793.4871898,51.5779385628887,0.695942800581761,12.7715054673529,0,5.92626293265497,7.46709129514526,1.12862588326221,20010112,NA,0.0851433697823526,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43431347.0519499,18665596.1092694,51.48269169316,0.697132234169238,12.9740860634736,0,5.91479263280507,7.45263871733439,1.14616456588526,20010113,NA,0.0864939070898241,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43347086.202189,18627606.2569073,51.3828104865086,0.698369637439966,13.1619110969043,0,5.90275432995328,7.43747045574113,1.16215753184604,20010114,NA,0.087746073979362,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43258933.6725165,18587829.8371187,51.2783161566028,0.699654062607347,13.3364271487125,0,5.89014989592674,7.42158886886769,1.17675093863592,20010115,NA,0.0889095143247499,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43166908.3902245,18546273.2090232,51.169231139494,0.700984542675576,13.498947532541,0,5.87698134581644,7.40499649572871,1.19007708668378,20010116,NA,0.0899929835502736,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
43071030.3160558,18502943.1925704,51.055579096267,0.702360093852357,13.6506647662418,0,5.86325084074209,7.38769605933503,1.20225578798833,20010117,NA,0.0910044317749455,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
42971320.4468216,18457847.0773513,50.9373849161415,0.703779717928751,13.7926618242014,0,5.8489606906443,7.36969047021181,1.21339558780594,20010118,NA,0.0919510788280093,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
42867800.8183985,18410992.631464,50.8146747200261,0.705242404616357,13.9259222994553,0,5.83411335709405,7.3509828299385,1.22359485719921,20010119,NA,0.0928394819963687,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
42760494.5091024,18362388.1104037,50.6874758645172,0.706747133832757,14.0513395893476,0,5.81871145610972,7.33157643469824,1.23294277177722,20010120,NA,0.0936755972623173,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
42649425.6434218,18312042.2659414,50.5558169463237,0.708292877926936,14.1697252052382,0,5.80275776097058,7.31147477882293,1.2415201898731,20010121,NA,0.0944648347015879,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
42534619.3960889,18259964.3549584,50.4197278070939,0.709878603837141,14.2818162952714,0,5.78625520501623,7.29068155832045,1.24940044164063,20010122,NA,0.095212108635143,0.651612927836757,AU-Ync,GRA,0.252600872181155,3.9588145178012,1.71217045724433,0.544944646036631
