ho,hn,qn,cn,wn,ro,eq_n,ep_n,ea_n,TIME,swcObs,swc,Prec,sito,veg,MI,AI,ApP,ApQ
7965008.38410118,1290845.5241949,5.33449557713413,0.342834194003572,150,2.88436569246741,0.205133809507899,0.258468599979953,0.258468599979953,20010101,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8017720.49357445,1303219.68488905,5.36979905721682,0.342447436750958,150,2.88150123208874,0.207100240560319,0.260946303106002,0.260946303106002,20010102,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8075383.78374709,1316765.74040549,5.40841854781308,0.342025878387367,150,2.87836731973783,0.20925290245503,0.263658657093338,0.263658657093338,20010103,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8137994.33802793,1331486.04287435,5.4503514258198,0.341570067545431,150,2.87496403307551,0.21159216897914,0.266606132913716,0.266606132913717,20010104,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8205547.23546174,1347382.89678193,5.49559439546973,0.341080590123591,150,2.87129149656832,0.21411840634847,0.269789191999072,0.269789191999072,20010105,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8278036.47484442,1364458.52100032,5.54414343750822,0.340558066639728,150,2.86734988644488,0.216831967173518,0.273208278638632,0.273208278638632,20010106,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8355454.89660251,1382715.00965672,5.59599375687281,0.340003149500219,150,2.86313943580029,0.219733184241037,0.276863812143707,0.276863812143707,20010107,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8437794.10312182,1402154.2921834,5.6511397293339,0.339416520208009,150,2.8586604398034,0.222822364165401,0.280756178848406,0.280756178848406,20010108,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8525044.37821209,1422778.09288642,5.70957484755698,0.338798886532788,150,2.8539132609626,0.226099780963495,0.284885724014004,0.284885724014004,20010109,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8617194.60638944,1444587.89036423,5.77129166704272,0.338150979665441,150,2.84889833440599,0.229565669605755,0.289252743703251,0.289252743703251,20010110,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8714232.19264547,1467584.87709698,5.83628175239301,0.337473551377898,150,2.84361617313286,0.233220219594325,0.293857476688849,0.293857476688849,20010111,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8816142.98335281,1491769.9195134,5.90453562433817,0.336767371208149,150,2.83806737319438,0.237063568617118,0.298700096457568,0.298700096457568,20010112,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
8922911.18893121,1517143.51882598,5.97604270794318,0.336033223688751,150,2.83225261876436,0.241095796323963,0.303780703368193,0.303780703368193,20010113,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
9034519.30886734,1543705.77290593,6.05079128239038,0.335271905635509,150,2.82617268706164,0.245316918267997,0.309099317017676,0.309099317017676,20010114,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
9150948.05964555,1571456.33944902,6.1287684327117,0.334484223511329,150,2.8198284530894,0.249726880052182,0.314655868865749,0.314655868865749,20010115,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
9272176.30610699,1600394.40066074,6.20996000381702,0.333670990878471,150,2.81322089415849,0.254325551717279,0.320450195163772,0.320450195163772,20010116,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
9398180.99671107,1630518.62966614,6.29435055713613,0.33283302595067,150,2.80635109416556,0.259112722403889,0.3264820302289,0.3264820302289,20010117,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
9528937.10312758,1661827.15882557,6.38192333016101,0.331971149254798,150,2.79922024759873,0.264088095317367,0.332751000099883,0.332751000099883,20010118,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
9664417.5645397,1694317.55011329,6.4726601991433,0.331086181410036,150,2.79182966324791,0.269251283020565,0.339256616605912,0.339256616605912,20010119,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
9804593.23698924,1727986.76769147,6.5665416451687,0.330178941030847,150,2.78418076759959,0.27460180307545,0.345998271875066,0.345998271875067,20010120,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
9949432.848046,1762831.15278862,6.66354672379717,0.329250242758452,150,2.7762751078981,0.280139074050919,0.352975233304158,0.352975233304158,20010121,NA,1,2.8000000984438,CZ-BK2,GRA,1.28617615891628,0.777498473337115,0.768471401993814,1.2453708910273
