ho,hn,qn,cn,wn,ro,eq_n,ep_n,ea_n,TIME,swcObs,swc,Prec,sito,veg,MI,AI,ApP,ApQ
0,0,0,0.0423349341018595,121.467362472888,0,0,0,0,20010101,NA,0.809782416485917,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,121.774213529869,0,0,0,0,20010102,NA,0.811828090199126,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,122.08106458685,0,0,0,0,20010103,NA,0.813873763912336,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,122.387915643832,0,0,0,0,20010104,NA,0.815919437625545,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,122.694766700813,0,0,0,0,20010105,NA,0.817965111338754,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,123.001617757795,0,0,0,0,20010106,NA,0.820010785051963,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,123.308468814776,0,0,0,0,20010107,NA,0.822056458765173,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,123.615319871757,0,0,0,0,20010108,NA,0.824102132478382,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,123.922170928739,0,0,0,0,20010109,NA,0.826147806191591,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,124.22902198572,0,0,0,0,20010110,NA,0.8281934799048,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,124.535873042701,0,0,0,0,20010111,NA,0.83023915361801,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,124.842724099683,0,0,0,0,20010112,NA,0.832284827331219,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,125.149575156664,0,0,0,0,20010113,NA,0.834330501044428,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,125.456426213646,0,0,0,0,20010114,NA,0.836376174757637,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,125.763277270627,0,0,0,0,20010115,NA,0.838421848470847,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,126.070128327608,0,0,0,0,20010116,NA,0.840467522184056,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,126.37697938459,0,0,0,0,20010117,NA,0.842513195897265,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,126.683830441571,0,0,0,0,20010118,NA,0.844558869610474,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,126.990681498553,0,0,0,0,20010119,NA,0.846604543323684,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,127.297532555534,0,0,0,0,20010120,NA,0.848650217036893,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,127.604383612515,0,0,0,0,20010121,NA,0.850695890750102,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,127.911234669497,0,0,0,0,20010122,NA,0.852741564463311,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,128.218085726478,0,0,0,0,20010123,NA,0.854787238176521,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
0,0,0,0.0423349341018595,128.524936783459,0,0,0,0,20010124,NA,0.85683291188973,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
1965.12450786083,0,0.000972396112554848,0.0423279365463953,128.831780842885,0,0,0,0,20010125,NA,0.858878538952569,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
24948.9538774045,0,0.0123454089884143,0.0422460940879923,129.138543059853,0,0,0,0,20010126,NA,0.860923620399019,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
62016.6147225057,0,0.0306874779835819,0.0421141009182712,129.445173283651,0,0,0,0,20010127,NA,0.862967821891004,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
109973.807722084,0,0.0544179784456603,0.0419433315260133,129.751632738056,0,0,0,0,20010128,NA,0.865010884920374,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
167564.698431876,0,0.0829154899370485,0.0417382577760508,130.057887118712,0,0,0,0,20010129,NA,0.867052580791412,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
234102.844377223,0,0.115840342380263,0.0415013240016918,130.363904565593,0,0,0,0,20010130,NA,0.869092697103953,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
309159.333642705,0,0.152980298699478,0.0412340575030669,130.669654745976,0,0,0,0,20010131,NA,0.871131031639837,0.264516122879521,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
392444.379503349,0,0.258275313024904,0.0933594027140344,131.095157012644,0,0,0,0,20010201,NA,0.873967713417629,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
483751.254726054,0,0.318366151398775,0.0927514027007628,131.5200512793,0,0,0,0,20010202,NA,0.876800341862,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
582926.001565344,0,0.383634989791872,0.0920910116048303,131.94428515486,0,0,0,0,20010203,NA,0.879628567699064,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
689849.543602917,0,0.454003461687008,0.0913790223398452,132.367807041154,0,0,0,0,20010204,NA,0.882452046941029,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
804426.419557524,0,0.529408742150043,0.0906160705694434,132.790565975679,0,0,0,0,20010205,NA,0.885270439837857,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
926577.334753725,0,0.609798645805952,0.0898026843060401,133.212511523939,0,0,0,0,20010206,NA,0.888083410159596,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
1056234.04765388,0,0.695128261565635,0.0889393179607153,133.633593705855,0,0,0,0,20010207,NA,0.8908906247057,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
1193335.75361353,0,0.785357572704681,0.0880263764232931,134.053762946233,0,0,0,0,20010208,NA,0.893691752974888,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
1337826.4663974,0,0.880449733587889,0.0870642324984688,134.472970042686,0,0,0,0,20010209,NA,0.896486466951243,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
1489653.08634503,0,0.980369798291362,0.08605323976963,134.891166146411,0,0,0,0,20010210,NA,0.899274440976073,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
1648763.95413143,0,1.08508376880408,0.0849937422291673,135.308302752595,0,0,0,0,20010211,NA,0.902055351683966,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
1815107.75605143,0,1.1945578745742,0.083886081568036,135.724331698118,0,0,0,0,20010212,NA,0.904828877987452,0.332142863954817,RU-Cok,OSH,0.649068021198212,1.54067057279135,1.20193450667875,0.982972937343379
