ho,hn,qn,cn,wn,ro,eq_n,ep_n,ea_n,TIME,swcObs,swc,Prec,sito,veg,MI,AI,ApP,ApQ
16486545.9459653,5156875.24394606,17.667019570274,0.657952205317517,24.6495314432146,0,0.910206491449526,1.1468601792264,1.04699171666982,20010101,NA,0.164330209621431,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
16540737.9217126,5178672.54266428,17.7250918128903,0.657500201292087,25.4437725518987,0,0.914053790802498,1.15170777641115,1.06971075473313,20010102,NA,0.169625150345991,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
16599824.9813183,5202436.94026443,17.7884096383357,0.657007047148872,26.2162781464278,0,0.918248289978416,1.1569928453728,1.09095311474485,20010103,NA,0.174775187642852,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
16663779.4063721,5228158.77170548,17.8569433434995,0.656473236005738,26.9683801228152,0,0.922788283063783,1.16271323666037,1.11082292174345,20010104,NA,0.179789200818768,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
16732570.8151691,5255827.38353062,17.9306603712789,0.655899297813373,27.7013231268347,0,0.927671889686263,1.16886658100469,1.12940795591906,20010105,NA,0.184675487512231,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
16806166.1808246,5285431.13188425,18.00952532999,0.655285797568126,28.4162826412396,0,0.932897054664677,1.17545028887749,1.1467779452883,20010106,NA,0.189441884274931,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
16884529.8518709,5316957.38114889,18.0935000154401,0.654633333437376,29.1143870903453,0,0.938461547768406,1.18246155018819,1.16298054645681,20010107,NA,0.194095913935636,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
16967623.5753879,5350392.50329457,18.1825434357147,0.65394253480963,29.7967489310748,0,0.944362963602564,1.18989733413923,1.1780323562053,20010108,NA,0.198644992873832,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
17055406.5227162,5385721.87803251,18.2766118387306,0.653214060281736,30.4645178732558,0,0.95059872163512,1.19775438926025,1.19189678022585,20010109,NA,0.203096785821705,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
17147835.3177926,5422929.8938619,18.3756587426014,0.652448595595631,31.1190055893812,0,0.957166066381656,1.20602924364089,1.20441254159533,20010110,NA,0.207460037262542,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
17244864.0681435,5461999.95009531,18.4796349688496,0.651646851536977,31.7623858976621,0,0.96406206776286,1.2147182053812,1.2147182053812,20010111,NA,0.211749239317748,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
17346444.3985633,5502914.45994362,18.5884886784964,0.650809561807832,32.3958297583173,0,0.971283621649029,1.22381736327778,1.22381736327778,20010112,NA,0.215972198388782,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
17452525.4874935,5545654.85473559,18.702165411046,0.649937480885236,33.0188963135656,0,0.978827450604837,1.23332258776209,1.2333225877621,20010113,NA,0.220125975423771,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
17563054.1061135,5590201.58934082,18.8206081263749,0.649031381877183,33.6311498254613,0,0.986690104846503,1.24322953210659,1.24322953210659,20010114,NA,0.224207665503076,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
17677974.6601384,5636534.14885754,18.9437572495229,0.648092054386996,34.2321599080615,0,0.994867963422217,1.25353363391199,1.25353363391199,20010115,NA,0.228214399387076,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
17797229.2343133,5684631.05661892,19.0715507183731,0.647120302396537,34.8215017556953,0,1.00335723562527,1.26423011688784,1.26423011688784,20010116,NA,0.232143345037969,1.20645166212513,US-ARc,GRA,0.490743771903164,2.03772326263435,1.34390688288504,0.83098755531997
